Authorization Number,Authorization Type,Company,Issue Date,Expiry Date,Waste Type,State,Primary BCENICID,Secondary BCENICID,CPIX,Risk Level,WDR Regulation,WDR Schedule One or Two,Regional Case Manager,Office,Administrative Area,Regional District,Region,Nearest Municipality,Facility Type - Description,Facility Address,Facility Operator,Facility Operator Phone,Facility Operator Email,Latitude,Longitude,Legal Land Description,Mailing Address
100432,Code of Practice for Slaughter and Poultry Processing,ALS FEATHERS BE GONE ,8/22/2008,,Refuse,Active,112000  Agriculture - Animal Production,  ,L,,Schedule 2,Poultry Processing IndustryCode of Practice for the Slaughter and Poultry Processing Industries,"Berube, Conrad",Nanaimo,Southern Interior,,Authorizations - South Region,Port Alberni,  ,"6795 Swanson Road W, Port Alberni BC  V9Y 8L7",Alistair D. Harley,8307,,49.29672,124.8635,"Lot 2 DL 162 Alberni District_x000D_
Plan 1502 Except Plan 1094 RW_x000D_
Harley 6795 Grigg Rd (6795 Swanson Rd)","6795 Swanson Road W, Port Alberni BC  V9Y 8L7"
100433,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,PINEDALE AUTO WRECKERS (1989) LTD. ,8/22/2008,,,Active,562920  Waste Treatment - Material Recovery Facilities,  ,L,,Schedule 2,Vehicle Dismantling and Recycling Industry,"Lamb-Yorski, Matthew",Prince George,Northern,Fraser-Fort George,Authorizations - North Region,Prince George,Automotive Recycler  Automotive Recycler,"1650 Boundary  Road, Prince George BC  V2N 2H8",Pinedale Auto Wreckers 1989 Ltd.,9641,,53.8416495,122.743977,"Lot 19-29, block 45, DL 629, PL 902_x000D_
Lot 21, Block 52, DL 629 Pl 902_x000D_
Lot 23, Block 52, DL 629, PL 902_x000D_
Block A, DL 629, PL 2643","1650 Boundary Road, Prince George BC  V2N 2H8"
100434,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,SANDY'S AUTO PARTS LTD. ,8/22/2008,,,Active,562920  Waste Treatment - Material Recovery Facilities,  ,L,,Schedule 2,Vehicle Dismantling and Recycling Industry,"Leu, George",Nanaimo,Southern Interior,,Authorizations - South Region,Langford,Automotive Recycler  ,"945 Dunford Avenue, Langford BC  V9B 2S4",Barry Irwin,3141,,48.445,123.513,"Easterly 32.7 Feet of Lot 4, Westerly 67.3 feet of lot 3 Easterly 65 of the westerly 229.6 of lot 4, Sectin 79, Esquimalt Dist Plan 1512","945 Dunford Avenue, Langford BC  V9B 2S4"
100435,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,IDEAL AUTO WRECKING LTD. ,8/25/2008,,,Active,562920  Waste Treatment - Material Recovery Facilities,  ,L,,Schedule 2,Vehicle Dismantling and Recycling Industry,"Danyluk, Carol",Surrey,Southern Interior,Fraser Valley ,Authorizations - South Region,Chilliwack,Automotive Recycler  ,"45150 Vedder Mtn Road, Chilliwack BC  V2R 4C3",Ideal Auto Wrecking Ltd.,1822,idealautoclint@shaw.ca,49.093562,121.974539,"PCL ""A"" (RP824) of PCL ""ONE"" (RP543) of LS 6 of SE 1/4 + of SW 1/4 SEC. 1 ETC.","45150 Vedder Mtn Road, Chilliwack BC  V2R 4C3"
100436,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,IDEAL AUTO WRECKING LTD. ,8/26/2008,,,Active,562920  Waste Treatment - Material Recovery Facilities,  ,L,,Schedule 2,Vehicle Dismantling and Recycling Industry,"Cavadini, Roger",Surrey,Southern Interior,Fraser Valley ,Authorizations - South Region,Chilliwack,Automotive Recycler  Automotive Recycler ,"43460 Lumsden Road, Chilliwack BC  V2R 4R4",Curtis Williams,0077,idealautocurt@shaw.ca,49.088844,122.022802,Lot 6 PL 36961 SEC 34 TWP 22,"45150 Vedder Mtn Road, Chilliwack BC  V2R 4C3"
100437,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,SOOKE TOTAL AUTO RECYCLING LTD. ,8/26/2008,,,Active,562920  Waste Treatment - Material Recovery Facilities,  ,L,,Schedule 2,Vehicle Dismantling and Recycling Industry,"Leu, George",Nanaimo,Southern Interior,,Authorizations - South Region,Langford,"Automotive Recylcer  Automobile Dismantling, Recycling facility","6228 Sooke Road, Sooke BC  V9Z 0G7",Sooke Total Auto Recycling Ltd.,4206,,48.3912,123.698,Parcel 1 DD143149C of Prcel/A Plan DD 50338-1,"PO BOX 36, Sooke BC  V9Z 0G7"
100438,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,249513 B.C. LTD. MIKES AUTO TOWING,8/26/2008,,,Active,562920  Waste Treatment - Material Recovery Facilities,  ,L,,Schedule 2,Vehicle Dismantling and Recycling Industry,"Barlas, Sajid",,Southern Interior,,Authorizations - South Region,Kamloops,Automotive Recycler  Mike's Auto Towing,"726 Carrier Street, Kamloops BC  V3H 1G2",249513 B.C. Ltd.,8849,,50.685987,120.319887,"Lot 34 Plan 51611 Kamloops District of Yale Land District lease 204519 Kamloops IR#1, Kamloops Indian Band, Area 53, Jurisdiction 066","726 Carrier Street, Kamloops BC  V3H 1G2"
100439,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,MERRITT AUTO WRECKING LTD. ,8/26/2008,,,Active,562920  Waste Treatment - Material Recovery Facilities,  ,L,,Schedule 2,Vehicle Dismantling and Recycling Industry,"Barlas, Sajid",,Southern Interior,,Authorizations - South Region,Merritt,Automotive Recyclers  ,"2402 Priest Avenue, Merritt BC  V0K 2B0",Merritt Auto Wrecking Ltd.,4821,merrauto@live.ca,50.1037,120.7832,"Lot 1 Block 47, Plan 717, Dist Lot 123_x000D_
Kamloops Division of Yale Land District_x000D_
Part on Plan BAKER 12690","PO BOX 2255, Merritt BC  V1K 1B8"
100440,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,ALDERGROVE AUTO WRECKING LTD. ,8/26/2008,,,Active,562920  Waste Treatment - Material Recovery Facilities,  ,L,,Schedule 2,Vehicle Dismantling and Recycling Industry,"Danyluk, Carol",Surrey,Southern Interior,Fraser Valley ,Authorizations - South Region,Abbotsford,Automotive Recycler  Automotice Recycler,"27820 Swenson Rd, Abbotsford BC V4X 1H4",John Barned,6383,,49.049642,122.454142,Lot 1 Plan 5149 Section 20 TWP 13 NWD,"27820 SWENSSON RD, ALDERGROVE BC V0X 1A0"
100441,Code of Practice for Slaughter and Poultry Processing,FAIRLINE DEVELOPMENT (CANADA) (1992) LTD. YAO SUN LOONG KONG CHICKEN LTD.,8/26/2008,,Effluent,Cancelled,112000  Agriculture - Animal Production,  ,L,,N/A,,"Vanderhoek, Linda",Surrey,Southern Interior,Metro Vancouver,Authorizations - South Region,Richmond,  Slaughtering and/or processing poultry,"2391 Vauxhall Place, Richmond BC  V6V 1Z5",Fairline Development Canada (1992) Ltd.,2886,loongkongchicken833@hotmail.com,49.197005,123.086647,"Lot 56, SEction 19-5-5 PL 57560","2391 Vauxhall Place, Richmond BC  V6V 1Z5"
100442,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,SCHNITZER STEEL CANADA LTD. PICK N'PULL (KELOWNA),8/26/2008,,,Active,562920  Waste Treatment - Material Recovery Facilities,  ,L,,Schedule 2,Vehicle Dismantling and Recycling Industry,"Corapi, Joseph",Surrey, ,Central Okanagan ,Authorizations - South Region,West Kelowna,Automotive Recycler  Automotive Recycler,"1516 Stevens Road, Kelowna BC  V1Z 1G2",Nures Kara,6765,nkara@schn.com,49.8665,119.5782,Lot 4 Block 2 Plan KAP1799 District Lot 505 Land District 41 Except Plan 23251 & KAP70031,"1516 Stevens Road, West Kelowna BC  V1Z 1G2"
100443,Code of Practice for Slaughter and Poultry Processing,KAM LAKE-VIEW MEATS LTD. ,8/26/2008,,Effluent,Active,112000  Agriculture - Animal Production,  ,L,,Schedule 2,Slaughter IndustryCode of Practice for the Slaughter and Poultry Processing Industries,"Vergamini, Don",Kamloops,Southern Interior,,Authorizations - South Region,Kamloops,  ,Lot 20 Sec 19 Plan 22149,Ron Keely,0412,keely6@telus.net,50.708238,120.634904,Lot 20 Sec 19 Plan 22149,"6453 Buckhorn Road, Kamloops BC  V1S 2A1"
100444,Code of Practice for Slaughter and Poultry Processing,Chad  Maarhuis - DBA  ,8/26/2008,,Effluent,Active,112000  Agriculture - Animal Production,  ,L,,Schedule 2,Slaughter IndustryCode of Practice for the Slaughter and Poultry Processing Industries,"Crowley, Margaret",Penticton, ,,Authorizations - South Region,Penticton,  Slaughtering livestock (red meat),"3790 Highway 3, Rock Creek BC V0H 1Y0",Chad Maarhuis,0147,magnummeats@gmail.com,49.052222,118.959556,Lot 1 DL 1549 SDYD Plan 6528,"Post Office Box 181, Rock Creek BC V0H 1Y0"
100444,Code of Practice for Slaughter and Poultry Processing,Chad  Maarhuis - DBA  ,8/26/2008,,Refuse,Active,112000  Agriculture - Animal Production,  ,L,,Schedule 2,Slaughter IndustryCode of Practice for the Slaughter and Poultry Processing Industries,"Crowley, Margaret",Penticton, ,,Authorizations - South Region,Penticton,  Slaughtering livestock (red meat),"3790 Highway 3, Rock Creek BC V0H 1Y0",Chad Maarhuis,0147,magnummeats@gmail.com,49.052222,118.959556,Lot 1 DL 1549 SDYD Plan 6528,"Post Office Box 181, Rock Creek BC V0H 1Y0"
100445,Code of Practice for Slaughter and Poultry Processing,VALLEY VIEW FARMS ,8/26/2008,,Effluent,Cancelled,112000  Agriculture - Animal Production,  ,L,,Schedule 2,Poultry Processing IndustryCode of Practice for the Slaughter and Poultry Processing Industries,"Berube, Conrad",Nanaimo,Southern Interior,Nanaimo ,Authorizations - South Region,Nanaimo,  ,"Cranberry, Sec 8 R 6 except plan 20480 2594 , 4 PLC A(CDD 6974N) & E&N RLY R/W",George Gomerich passed away Executrix Anne Heyes,1777,Amheyes@shaw.ca,49.091309,123.906805,"Cranberry_x000D_
Sec 8 R 6 except plan 20480 2594 _x000D_
4 PLC A(CDD 6974N) & E&N RLY R/W","2322 Gomerich Road, Nanaimo BC  V9X 1R9"
100446,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,SAVE ON PARTS AUTO WRECKING LTD. ,8/26/2008,,,Active,562920  Waste Treatment - Material Recovery Facilities,  ,L,,Schedule 2,Vehicle Dismantling and Recycling Industry,"Stewart, Allison",Victoria,Southern Interior,Metro Vancouver,Authorizations - South Region,Surrey,Automotive Recycler  Automotive Recycler,"10535 Scott Road, Surrey BC  V3V 4G4",Save On Parts Auto Wrecking Ltd.,1333,saveonparts@gmail.com,49.193858,122.889162,"Lot 1, except put in statuatory right of way plan LMP22752, DL 7 & 8 Group 2 and Section 19 Block 5 North Range 2 NWD Plan 69945","6-3095 McCallum Road, Abbotsford BC  V2S 7W4"
100447,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,DHARNEY'S SALVAGE & ENTERPRISES LTD. ,8/27/2008,,,Active,562920  Waste Treatment - Material Recovery Facilities,  ,L,,Schedule 2,Vehicle Dismantling and Recycling Industry,"Danyluk, Carol",Surrey,Southern Interior,Metro Vancouver,Authorizations - South Region,Langley,Automotive Recycler  Automotive Recycler,"23360 Fraser Highway, Langley BC  V2Z 2K7",Veer Dharney,0775,,49.079088,122.577027,"Lot 3, Plan 1553, Part SW Quarter Section 33, Township 10 NWD","23360 Fraser Highway, Langley BC  V2Z 2K7"
100448,Code of Practice for Slaughter and Poultry Processing,WESTHOLME MEAT PACKERS LTD ,8/27/2008,,Effluent,Active,112000  Agriculture - Animal Production,  ,L,,Schedule 2,Poultry Processing IndustryCode of Practice for the Slaughter and Poultry Processing Industries,"Berube, Conrad",Nanaimo,Southern Interior,Cowichan Valley ,Authorizations - South Region,Victoria,  Slaughtering and/or processing poultry,"7824 Westholme Rd, Westholme BC",Westholme Meat Packers Ltd.,9500,,48.87025,123.7052,"Section 2 Rge 6 Blk 2_x000D_
Land District 08","PO BOX 42, Westholme BC  V0R 3C0"
100449,Code of Practice for Slaughter and Poultry Processing,Tom Tarzwell - DBA TARZWELL FARMS TARZWELL FARMS,8/27/2008,,Effluent,Active,311000  Food  - Manufacturing/Processing,  ,L,Low,Schedule 2,Slaughter IndustryCode of Practice for the Slaughter and Poultry Processing Industries,"McCandlish, Brad",Nelson,Southern Interior,Central Kootenay ,Authorizations - South Region,Creston,  Abattoir - slaughtering livestock (red meat),"524 Williams Road, Creston BC  V0B 1G8",Tom Tarzwell,4316,tarzwell@shaw.ca,49.1292,116.5405,"Parcel 1, Block 113, District Lot 9554, Kootenay Land District","524 Williams  Road, Creston BC  V0B 1G8"
100449,Code of Practice for Slaughter and Poultry Processing,Tom Tarzwell - DBA TARZWELL FARMS TARZWELL FARMS,8/27/2008,,Refuse,Active,311000  Food  - Manufacturing/Processing,  ,L,Low,Schedule 2,Slaughter IndustryCode of Practice for the Slaughter and Poultry Processing Industries,"McCandlish, Brad",Nelson,Southern Interior,Central Kootenay ,Authorizations - South Region,Creston,  Abattoir - slaughtering livestock (red meat),"524 Williams Road, Creston BC  V0B 1G8",Tom Tarzwell,4316,tarzwell@shaw.ca,49.1292,116.5405,"Parcel 1, Block 113, District Lot 9554, Kootenay Land District","524 Williams  Road, Creston BC  V0B 1G8"
100450,Code of Practice for Slaughter and Poultry Processing,SPOKIN LAKE MEATS LTD. ,8/27/2008,,Effluent,Active,112000  Agriculture - Animal Production,  ,L,,Schedule 2,Slaughter IndustryCode of Practice for the Slaughter and Poultry Processing Industries,"Bings, Daniel",Williams Lake,Northern,Cariboo,Authorizations - North Region,Williams Lake,  Slaughter house,"4030 Spokin Lake Road, 150 Mile Housse BC  V0K 2G0",Spokin Lake Meats Ltd.,4355,spokin@xplornet.ca,52.18472,121.7313,Block A of District Lot 6448 Cariboo Land District,"PO BOX 172, 150 Mile House BC  V0K 2G0"
100450,Code of Practice for Slaughter and Poultry Processing,SPOKIN LAKE MEATS LTD. ,8/27/2008,,Refuse,Active,112000  Agriculture - Animal Production,  ,L,,Schedule 2,Slaughter IndustryCode of Practice for the Slaughter and Poultry Processing Industries,"Bings, Daniel",Williams Lake,Northern,Cariboo,Authorizations - North Region,Williams Lake,  Slaughter house,"4030 Spokin Lake Road, 150 Mile Housse BC  V0K 2G0",Spokin Lake Meats Ltd.,4355,spokin@xplornet.ca,52.18472,121.7313,Block A of District Lot 6448 Cariboo Land District,"PO BOX 172, 150 Mile House BC  V0K 2G0"
100451,Code of Practice for Slaughter and Poultry Processing,NORTHWEST PREMIUM MEAT CO-OP ABATTOIR,8/27/2008,,Effluent,Cancelled,112000  Agriculture - Animal Production,  ,L,,Schedule 2,Slaughter IndustryCode of Practice for the Slaughter and Poultry Processing Industries,"Lough, Jeannette",,Northern,,Authorizations - North Region,Telkwa,  ,"5986 Donaldson Road, Telkwa BC  V0J 2X0",Northwest Premium Meat Co-Op,5222,,54.7144,127.0954,"Block B, Section 4, Twnshp 4, Range 5 Coast District","PO BOX 278, Telkwa BC  V0J 2X0"
100452,Information,R.D. MOYEN HOLDINGS LTD. ,10/15/2008,,Air,Cancelled,,,,,,,"Lawrie, Peter",, ,Fraser-Fort George,Authorizations - North Region,,  ,,,,,,,,
100453,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,PICK A PART AUTO PARTS & SALES LTD. ,8/29/2008,,,Active,562920  Waste Treatment - Material Recovery Facilities,  ,L,,Schedule 2,Vehicle Dismantling and Recycling Industry,"Danyluk, Carol",Surrey,Southern Interior,Fraser Valley ,Authorizations - South Region,Chilliwack,Automotive Recycler  Automotive Recycler,"43645 Industrial Way, Chilliwack BC  V2R 4L2",PICK A PART AUTO PARTS & SALES LTD.,0781,,49.145356,122.017003,Lot 18 Exc Plan 66063 DL 72 GRP 2 NWD Plan 53929,"43645 Industrial Way, Chilliwack BC  V2R 4L2"
100454,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,RITE WAY AUTO RECYCLERS LTD. ,8/29/2008,,,Active,562920  Waste Treatment - Material Recovery Facilities,  ,L,,Schedule 2,Vehicle Dismantling and Recycling Industry,"McCullough, Sarah",Surrey,Southern Interior,Fraser Valley ,Authorizations - South Region,Chilliwack,"Automotive Recycler, Sale of Used Parts  Automotive recycler","43701 Industrial Way, Chilliwack BC  V2R 4L2",John Davy,0781,ritewayautowreckers@shaw.ca,49.145882,122.014503,Lot 27 Dist Lot 72 Group 2 NWD Plan 66063,"43701 Industrial Way, Chilliwack BC  V2R 4L2"
100455,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,DONALD E. CHARLTON LTD. ,8/29/2008,,,Active,562920  Waste Treatment - Material Recovery Facilities,  ,L,,Schedule 2,Vehicle Dismantling and Recycling Industry,"Cavadini, Roger",Surrey,Southern Interior,Fraser Valley ,Authorizations - South Region,Abbotsford,Auto Recycler  Automotive recycler,"2035 Queen Street, Abbotsford BC  V2T 6J3",Garnet Hartman,8777,garnet@impoortautorecyclers.com,49.040231,122.368716,"LT 1 Sec 13 TWP 13 PL LMP48485 NWD_x000D_
LT A Sec 13 TWP 13 PL BCP29479 NWD","2087 Queen Street, Abbotsford BC  V2T 6J3"
100456,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,DONALD E. CHARLTON LTD. ,8/29/2008,,,Active,562920  Waste Treatment - Material Recovery Facilities,  ,L,,Schedule 2,Vehicle Dismantling and Recycling Industry,"Danyluk, Carol",Surrey,Southern Interior,Fraser Valley ,Authorizations - South Region,Abbotsford,Auto Recycler  Automotive Recycler,"10645 20th Street, Surrey BC  V3V 4G5",J.P. Martin,5551,jpm@proautosurrey.com,49.196672,122.887565,LT E DL 5 & 6 PL 70521 NWD,"2087 Queen Street, Abbotsford BC  V2T 6J3"
100457,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,DONALD E. CHARLTON LTD. ,8/29/2008,,,Cancelled,562920  Waste Treatment - Material Recovery Facilities,  ,L,,Schedule 2,Vehicle Dismantling and Recycling Industry,"Danyluk, Carol",Surrey,Southern Interior,Fraser Valley ,Authorizations - South Region,Abbotsford,Auto Recycler  Automotive Recycler,"30746 South Fraser Way, Abbotsford BC  V2T 6L4",Garnet Hartman,8777,garnet@importautorecyclers.com,49.052711,122.372535,Sec 24 TWP 13 PL 5763 NWD,"2087 Queen Street, Abbotsford BC  V2T 6J3"
100458,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,SOUTH ISLAND IMPORTS LTD. ,8/29/2008,,,Active,562920  Waste Treatment - Material Recovery Facilities,  ,L,,Schedule 2,Vehicle Dismantling and Recycling Industry,"Stewart, Allison",Victoria,Southern Interior,Nanaimo ,Authorizations - South Region,Nanaimo,Automotive Recycler  Automotive Recycler,"2090 Schoolhouse Road, Nanaimo BC  I9X 1T5",Michael Phililps ,1119,info@southislandimports.ca or books@southislandimports.ca,49.098015,123.888634,"Lot A, PL:  VIP 76747; Sec: 12, RG: 7_x000D_
Lot 7, PL:  VIP 27070; Sec: 12, RG: 7","2090 Schoolhouse Road, Nanaimo BC  V9X 1T5"
100459,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,KOOL COUNTRY AUTO PARTS TOWING & RADS LTD. ,8/29/2008,,,Active,562920  Waste Treatment - Material Recovery Facilities,  ,L,,Schedule 2,Vehicle Dismantling and Recycling Industry,"Archibald, Liz",Cranbrook,Southern Interior,,Authorizations - South Region,Invermere,Auto Recycler  ,"Lot 150, , 150 Industrial Rd #2, Invermere BC  V0A 1K0",Kool Country Auto Parts Towing & Rads Ltd.,4400,koolauto@telus.net,50.5159,116.0358,"150 Industrial RD #2_x000D_
Plan NEP 19688 Lot C DL 375","LOT 150 INDUSTRIAL RD #2, BOX 2216, INVERMERE BC V0A 1K0"
100460,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,KEATING USED AUTO & TRUCK PARTS LTD. ,8/29/2008,,,Cancelled,562920  Waste Treatment - Material Recovery Facilities,  ,L,,N/A,,"Leu, George",Nanaimo,Southern Interior,,Authorizations - South Region,Central Saanich,Auto Recycler  ,"6791 Oldfield Road, Victoria BC  V8M 2A2",Rodd Spooner,9195,,48.5677,123.416,Lot 8 Plan 31850 Section 13 Range 3E S Saanich Land Dst,"6791 Old Field Road, Victoria BC  V8M 2A2"
100461,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,A.B.C. RECYCLING (KELOWNA) LTD. ,8/29/2008,,,Active,562920  Waste Treatment - Material Recovery Facilities,  ,L,,Schedule 2,Vehicle Dismantling and Recycling Industry,"Downie, A.J.",Penticton,Southern Interior,Central Okanagan ,Authorizations - South Region,Kelowna,Automotive Recycler  Automotive Recycler,"3258 Highway 97 North, Kelowna BC  V1X 5C1",Josh Hannaberry,6607,,49.911742,119.399491,"Section 34, Township 26 Plan KAP55946 Lot B Plan 25328 ODYD","3258 Highway 97 North, Kelowna BC  V1X 5C1"
100462,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,SCHNITZER STEEL CANADA LTD. ,8/29/2008,,,Active,562920  Waste Treatment - Material Recovery Facilities,  ,L,,Schedule 2,Vehicle Dismantling and Recycling Industry,"Holms, Bruce",Victoria, ,Cowichan Valley ,Authorizations - South Region,Ladysmith,Steel salvage and recycling  Scrap metal recycling facility,"13271 Trans Canada Highway, Cassidy BC  V0R 1H0",Dave Miller,1446,dmiller@amix.ca  or dmiller@schn.com,49.03841,123.8633,"Lot 9 Oyster District lying to west of the westerly boundary of lot 9_x000D_
Plan 2169 and to the south of the southerly boundary of Lot 3 of the said plan, except the south 10 chains there of and except plan 50801","350-299 Clay  SW, Portland  OR  97201, USA"
